ISIN;nom;ticker
DE000A168205;Shareholder Value Beteiligungen AG;SVE
DE000A1A6V48;KPS AG;KSC
DE000A1A6WE6;DocCheck AG;AJ91
DE000A1DAHH0;Brenntag AG;BNR
DE000A1EMHE0;Tonkens Agrar AG;GTK
DE000A1EWVR2;Advantag AG;A62
DE000A1EWVY8;Formycon AG;FYB
DE000A1EWWW0;Adidas AG;ADS
DE000A1EWXA4;clearvise AG;ABO
DE000A1H8BV3;NORMA Group;NOEJ
DE000A1K0201;Gesco AG;GSC1
DE000A1K0235;Suss Microtec AG;SMHN
DE000A1K0375;artnet AG Namens-Aktien o.N.;ART
DE000A1ML7J1;VONOVIA;VNA
DE000A1MMCC8;Medios AG;ILM1
DE000A1MME74;Netfonds AG;NF4
DE000A1PG508;Fast Finance 24 Holding AG;FF24
DE000A1PHBB5;R Stahl AG;RSL2
DE000A1PHFF7;Hugo Boss AG;BOSS
DE000A1RFMY4;Rcm Beteiligungs AG;RCMN
DE000A1RFMZ1;SM Wirtschaftsberatungs AG;SMWN
DE000A1TNNN5;A.S. Creation Tapeten AG;ACWN
DE000A1TNU68;STS Group AG;SF3
DE000A1TNUT7;Deutsche Beteiligun;DBAN
DE000A1TNV91;Bitcoin Group SE;ADE
DE000A1TNWJ4;MPC Muenchmeyer Petersen Capital AG;MPCK
DE000A1X3W00;Medigene AG;MDG1
DE000A1X3WX6;ERWE Immobilien AG;ERWE
DE000A1X3X33;WCM Beteiligungs & Grundbesitz-AG;WCMK
DE000A1X3XX4;DIC Asset AG;DIC
DE000A1X3YY0;Bastei Lubbe AG;BST
DE000A1YC913;FCR Immobilien AG;FC9
DE000A254211;Intershop Communications AG;ISHA
DE000A254W52;Pyramid AG;M3BK
DE000A255F11;Friedrich Vorwerk Group SE;VH2
DE000A255G02;Enapter AG;H2O
DE000A289B07;TELES Informationstechnologien AG;TLIK
DE000A289V03;MPH Health Care AG;93M1
DE000A2AA204;DF Deutsche Forfait AG;DFTK
DE000A2AAA75;Seven Principles AG;T3T1
DE000A2BPK34;Net Digital AG;VRL
DE000A2DA588;MAX Automation AG;MXHN
DE000A2DAM03;Aumann AG;AAG
DE000A2E4K43;Delivery Hero AG;DHER
DE000A2E4MK4;Noratis AG;NUVA
DE000A2E4SV8;CYAN AG;CYR
DE000A2E4T77;H&R GmbH & Co KGaA;2HRA
DE000A2G8332;niiio finance group AG;NIIN
DE000A2G8X31;Serviceware SE;SJJ
DE000A2G9M17;capsensixx AG;CPX
DE000A2G9MZ9;Stemmer Imaging AG;S9I
DE000A2GS5D8;Dermapharm Holding SE;DMP
DE000A2GS625;CR Capital AG;CRZK
DE000A2GS633;Allgeier SE;AEIN
DE000A2GSU42;Brockhaus Capital Mgmt AG;BKHT
DE000A2GSVV5;Grounds Real Estate Development AG;AMMN
DE000A2LQ850;PREOS Global Office Real Estate & Technology AG;PAG
DE000A2LQ884;AUTO1 Group SE;AG1
DE000A2N4H07;Westwing Group AG;WEW
DE000A2NB650;Mutares AG;MUX
DE000A2NBVD5;DFV Deutsche Familienversicherung AG;DFV
DE000A2NBX80;Instone Real Estate Group AG;INS
DE000A2P4HL9;123fahrschule SE;123F
DE000A2P4LJ5;PharmaSGP Holding SE;PSG
DE000A2QRHL6;Linus Digital Finance AG;LDF
DE000A2TR919;Spielvereinigung Unterhaching Fussb;S6P
DE000A2TSL71;Synlab AG;SYAB
DE000A2YN504;Knaus Tabbert AG;KTA
DE000A2YN702;UMT United Mobility Technology AG;UMDK
DE000A2YN777;pferdewetten.de AG;EMH
DE000A2YN900;TeamViewer AG;TMV
DE000A2YNT30;AlzChem Group AG;ACT
DE000A2YPDD0;VIB Vermoegen AG;VIH1
