ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
DE000A2DAM03;AAG.DE;Industrials;Specialty Industrial Machinery;https://www.aumann.com/;Aumann AG;10,68;19,83;0,54;0,38;0,91;0
FR0000039232;AURE.PA;Industrials;Waste Management;https://www.aurea-france.com/;Aurea SA;5,6;21,48;0,26;0,2;0,4;0,36
FR0013183589;ALAUR.PA;Industrials;Business Equipment & Supplies;https://www.aures.com/;AURES Technologies S.A.;6,25;15,48;0,4;0,25;0,36;0,4
NO0011032310;AURA.OL;Real Estate;Real Estate Services;https://aurora.no/;Aurora Eiendom AS;84;289,93;0,29;0,49;0,44;0
NO0006001601;AURG.OL;Financial Services;Banks - Regional;https://aurskog-sparebank.no/;Aurskog Sparebank;239;4122,06;0,06;0,07;0,12;0,02
NO0010073489;AUSS.OL;Consumer Defensive;Farm Products;https://www.auss.no/;Austevoll Seafood ASA;101,8;202,77;0,5;0,35;0,3;0,04
IT0000084043;AUTME.MI;Industrials;Engineering & Construction;https://www.autostrademeridionali.it/;Autostrade Meridionali S.p.A.;2,605;13,6;0,19;0,17;1,61;1,26
NL0012047823;AVTX.AS;Basic Materials;Specialty Chemicals;https://www.avantium.com/;Avantium N.V.;1,82;2,63;0,69;0,66;0,24;0
FR001400CFI7;AVT.PA;Technology;Communication Equipment;https://corporate.avenir-telecom.com/;Avenir Telecom S.A.;0,07;0,43;0,16;0,11;1,2;0
IT0005119810;AVIO.MI;Industrials;Aerospace & Defense;https://www.avio.com/;Avio S.p.A.;12,8;34,27;0,37;0,25;0,31;0
NO0012785098;AWDR.OL;Energy;Oil & Gas Drilling;https://www.awilcodrilling.com/;Awilco Drilling PLC;24,9;0,08;311,25;-191,54;129,63;1,17
NO0010607971;ALNG.OL;Industrials;Marine Shipping;https://www.awilcolng.no/;Awilco LNG ASA;4,02;2,56;1,57;2,26;0,4;0
FR0000120628;CS.PA;Financial Services;Insurance - Diversified;https://www.axa.com/;AXA SA;34,1;0;0;0;0,07;0,16
NO0010840515;ACR.OL;Financial Services;Credit Services;https://www.axactor.com/;Axactor ASA;3,87;4,57;0,85;1,07;0,29;0
NO0012861683;AIX.OL;;;https://twitter.com/YahooFinance;;4,12;0;0;0;0,24;0
LU1789205884;BSGR.AS;Consumer Defensive;Food Distribution;https://www.bs-group-sa.com/;B&S Group S.A.;4,25;10,29;0,41;0,25;0,25;0
PTBCP0AM0015;BCP.LS;Financial Services;Banks - Regional;https://ind.millenniumbcp.pt/;Banco Comercial Português, S.A.;0,4458;0;0;0;0,07;7,47
IT0005187460;BFG.MI;Consumer Defensive;Farm Products;https://www.bfspa.it/;B.F. S.p.A.;4,06;7,05;0,58;0,45;0,36;0
NO0010633951;B2I.OL;Financial Services;Credit Services;https://www.b2-impact.com/;B2 Impact ASA;9,89;42,63;0,23;0,34;0,35;0
FR0013384369;ALBKK.PA;Basic Materials;Chemicals;https://www.baikowski.com/;Baikowski SA;14,6;15,94;0,92;1,02;0,72;0
MC0000031187;BAIN.PA;Consumer Cyclical;Resorts & Casinos;https://www.montecarlosbm.com/;Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco;102,5;85,18;1,2;2,95;0,76;0
NO0010810476;BALT.OL;Real Estate;Real Estate Services;https://www.balticsea.no/;Baltic Sea Properties AS;50;157,33;0,32;0,5;0,43;0
FR0013258399;BALYO.PA;Industrials;Specialty Industrial Machinery;https://www.balyo.com/;Balyo SA;0,288;0,17;1,69;1,03;0,17;0
