Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
NO0012851874;Industrials;Engineering & Construction;https://www.dof.com/;DOF Group ASA;90,9;15,21;5,98;-16,2;0,41;0
FR0014004QZ9;Energy;Oil & Gas Equipment & Services;https://www.dolfines.com/;Dolfines SA;0,0011;0;0;0;0,14;0
NO0012595950;Energy;Oil & Gas Drilling;https://www.dolphindrilling.com/;Dolphin Drilling AS;5,74;0,56;10,25;47,83;0,77;0
IE000TIRQBE1;Consumer Defensive;Farm Products;https://www.donegaligroup.com/;Donegal Investment Group plc;16,5;20,5;0,8;2,52;0,62;2,78
FR0013331212;Communication Services;Electronic Gaming & Multimedia;https://dontnod-bourse.com/;Don't Nod Entertainment S.A.;2,94;5,46;0,54;0,72;1,52;0
IT0005523839;Real Estate;Real Estate Services;https://www.dotstay.com/;Dotstay S.P.A;4,9;0,75;6,53;15,81;1,48;0
IT0001044996;Financial Services;Banks - Regional;https://www.dovalue.it/;doValue S.p.A.;1,98;13,36;0,15;-0,27;0,09;0
IT0005394413;Technology;Software - Infrastructure;https://www.doxee.com/;Doxee S.p.A.;2,24;3,39;0,66;-0,91;0,22;0
FR0013088606;Technology;Computer Hardware;https://www.dronevolt.com/;Drone Volt SA;0,0083;0;0;0;0;0
FR0014007951;;;;;0,0005;0;0;0;0;0
CH1216478797;Consumer Defensive;Household & Personal Products;https://www.dsm-firmenich.com/;DSM-Firmenich AG;107,45;58,55;1,84;-12,1;0,72;0
DE0005565204;Industrials;Specialty Industrial Machinery;https://www.durr-group.com/;Dürr Aktiengesellschaft;24,84;59;0,42;-2,41;0,29;2,49
FR0000052920;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
LU0881232630;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
FR0014004339;Utilities;Utilities - Renewable;https://www.e-pango.com/;E-Pango SA;0,31;0,57;0,54;-0,45;0,55;0
IT0005557514;Industrials;Building Products & Equipment;https://www.e-globe.it/;E-Globe S.p.A.;1,42;0;0;0;0;0
IT0005391229;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
DE000ENAG999;Utilities;Utilities - Diversified;https://www.eon.com/;E.ON SE;12,7;35,55;0,36;-0,53;0,13;4,69
IT0005581365;Consumer Cyclical;Internet Retail;https://www.epricespa.it/;E.P.H.;0,0005;0;0;-0,01;35,86;0
FR0010428771;Consumer Cyclical;Leisure;https://finance.eaglefootballgroup.com/;Eagle Football Group Société anonyme;2,13;4,46;0,48;-0,61;0,02;0
NO0010607781;;;;;1,045;0;0;0;0;0
NL0000345627;Technology;Software - Infrastructure;https://investor.ease2pay.eu/;Ease2pay N.V.;0,56;0,25;2,24;6,22;0,93;431,76
FR0007200100;Utilities;Utilities - Regulated Water;https://www.cer-eau.fr/;Compagnie Des Eaux De Royan;84,5;0;0;0;0;0
FR0010536185;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
NL0015000CZ2;Consumer Cyclical;Auto Manufacturers;https://www.ebusco.com/;Ebusco Holding N.V.;2,97;4,22;0,7;2,18;0,62;0
NO0010939804;Technology;Information Technology Services;https://www.ecit.com/;ECIT AS;6,84;4,58;1,49;-2,19;0,36;0
DE0005659700;Healthcare;Medical Devices;https://www.ezag.com/;Eckert & Ziegler SE;46,5;19,43;2,39;40,09;0,6;0,94
DE000A0XYM45;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
IT0005543332;Consumer Cyclical;Packaging & Containers;https://www.ecomembrane.com/;Ecomembrane S.r.l.;5,8;4,82;1,2;2,71;0,88;0
FR0013534617;Consumer Defensive;Food Distribution;https://www.ecomiam.com/;écomiam SA;3,17;3,82;0,83;11,32;0,49;0
BE0974313455;Technology;Information Technology Services;https://www.econocom.com/;Econocom Group SE;2,325;9,9;0,23;-1,08;0,2;1,59
FR0011490648;Industrials;Waste Management;https://www.ecoslops.com/;Ecoslops S.A.;0,71;0;0;0;0;0
IT0005001943;Utilities;Utilities - Diversified;https://www.ecosuntek.com/;Ecosuntek S.p.A.;19,15;78,08;0,25;-1,2;0,13;0
NO0010998529;Energy;Oil & Gas Equipment & Services;https://eddawind.com/;Edda Wind ASA;23,1;5,18;4,46;-10,85;0,52;0
FR0010908533;Financial Services;Credit Services;https://www.edenred.com/;Edenred SE;46,8;37,44;1,25;-2,33;0,07;1,78
IT0005561441;Industrials;Infrastructure Operations;https://www.edilsanfelice.it/;Edil San Felice S.p.A.;3,85;0;0;0;0;0
IT0005351504;Industrials;Specialty Business Services;https://www.ediliziacrobatica.com/;EdiliziAcrobatica S.p.A.;10,9;17,4;0,63;-6,23;0,21;0
IT0003372205;Utilities;Utilities - Regulated Electric;https://www.edison.it/it;Edison S.p.A.;1,525;101,26;0,02;-0,23;0,55;6,53
FR0000052755;Communication Services;Publishing;https://www.editionsdusigne.fr/;Editions Du Signe SA;0,15;0;0;0;0;0
PTEDP0AM0009;Utilities;Utilities - Diversified;https://www.edp.com/en/;EDP - Energias de Portugal, S.A.;3,845;11,42;0,34;-0,56;0,22;4,44
ES0127797019;Utilities;Utilities - Renewable;https://www.edpr.com/;EDP Renováveis, S.A.;14,74;26,38;0,56;-1,11;0,39;0,54
ES0627797915;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
FR0010882886;Financial Services;Asset Management;https://www.eduformaction.fr/;Eduform'action Société Anonyme;0,55;0;0;0;0;0
FR0010439265;Consumer Defensive;Education & Training Services;https://www.smbg.fr/;Eduniversal SA;0,2;0;0;0;0;0
IT0005577868;Utilities;Utilities - Regulated Gas;https://www.eems.com/;EEMS Italia SpA;0,2029;0,61;0,33;0,92;0,99;0
FR0000072373;Technology;Electronic Components;https://www.egide-group.com/;Egide S.A.;0,658;1,73;0,38;-2,63;0,2;0
IT0005586497;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
NL0015000K10;Financial Services;Shell Companies;https://www.ehc-company.com/;European Healthcare Acquisition & Growth Company B.V.;9,15;12,81;0,71;5,98;0,13;0
NL0015000K02;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
NO0010263023;Energy;Oil & Gas Equipment & Services;https://www.eidesvik.no/;Eidesvik Offshore ASA;16;37,22;0,43;-3,7;0,65;2,95
FR0000130452;Industrials;Engineering & Construction;https://www.eiffage.com/;Eiffage SA;104,35;236,45;0,44;-0,64;0,2;2,2
FR0011466069;Technology;Communication Equipment;https://www.ekinops.com/;EKINOPS S.A.;4;5,79;0,69;2,47;0,78;0
BE0974380124;Utilities;Utilities - Regulated Water;https://ekopak.be/;Ekopak NV;18,8;5,18;3,63;-8,47;0,46;0
IT0005453250;Healthcare;Medical Devices;https://elengroup.com/;EL.En. S.p.A.;10,02;8,83;1,13;3,84;0,59;1,87
FR0000031023;Utilities;Utilities - Renewable;https://www.es.fr/;Électricite de Strasbourg Société Anonyme;121,5;0;0;0;0;4,43
FR0000035719;Financial Services;Asset Management;https://www.eem-group.com/;Electricité et Eaux de Madagascar Société Anonyme;3,3;3,43;0,96;5,41;1,1;0
NO0010358484;Energy;Oil & Gas Equipment & Services;https://www.emgs.com/;Electromagnetic Geoservices ASA;2,25;0,18;12,5;-20,45;0,2;0
