ISIN;nom;ticker
DE000A0LBFE4f;Mevis Medical Solut;M3V
DE000A0LBKW6f;UET United Electronic Technology AG;CFC
DE000A0LD6E6f;Gerresheimer AG;GXI
DE000A0LR4P1f;HWA AG;H9W
DE000A0LR936f;Steico SE;ST5
DE000A0LR9G9f;Exasol AG;EXL
DE000A0M93V6f;Advanced Blockchain AG;BWQ
DE000A0MSN11f;Nynomic AG;M7U
DE000A0MVLS8f;EnviTec Biogas AG;ETG
DE000A0MZ4B0f;Delignit AG;DLX
DE000A0N4N52f;NFON AG;NFN
DE000A0S8488f;Hamburger Hafen und;HHFA
DE000A0SMU87f;Northern Data AG;NB2
DE000A0STSQ8f;M1 Kliniken AG;M12
DE000A0V9LA7f;DATRON AG;DAR
DE000A0WMPJ6f;Aixtron SE NA;AIXA
DE000A0XFSF0f;DEMIRE Real Estate ;DMRE
DE000A0XYG76f;Deutsche Rohstoff AG;DR0
DE000A0XYGA7f;Technotrans AG;TTR1
DE000A0XYHT5f;IBU tec advanced materials AG;IBU
DE000A0Z1JH9f;PSI AG Gesellschaft;PSAN
DE000A0Z23Q5f;Adesso AG;ADN1
DE000A0Z2ZZ5f;Freenet AG;FNTN
DE000A11Q059f;Elumeo SE;ELB
DE000A11QVV0f;Heidelberg Pharma AG;HPHA
DE000A11QW68f;7C Solarparken AG;HRPK
DE000A12DM80f;Scout24 Holding GmbH;G24
DE000A12UK08f;Mountain Alliance AG;ECF
DE000A12UP37f;NorCom Information Technology AG;NC5A
DE000A12UPJ7f;Pantaflix AG;PAL
DE000A13SUL5f;Defama Deutsche Fachmarkt AG;DEF
DE000A13SX22f;Hella KGaA Hueck & ;HLE
DE000A14KRD3f;Deutsche Konsum REIT-AG;DKG
DE000A161077f;Ernst Russ AG;HXCK
DE000A161408f;HelloFresh AG;HFG
DE000A161N14f;Your Family Entertainment AG;RTV
DE000A161N30f;Grenkeleasing AG;GLJ
DE000A161NR7f;NAGA Group AG;N4G
DE000A1681X5f;Singulus Technologies AG;SNG
DE000A168205f;Shareholder Value Beteiligungen AG;SVE
DE000A1A6V48f;KPS AG;KSC
DE000A1A6WE6f;DocCheck AG;AJ91
DE000A1DAHH0f;Brenntag AG;BNR
DE000A1EMHE0f;Tonkens Agrar AG;GTK
DE000A1EWVY8f;Formycon AG;FYB
DE000A1EWWW0f;Adidas AG;ADS
DE000A1EWXA4f;clearvise AG;ABO
DE000A1H8BV3f;NORMA Group;NOEJ
DE000A1K0201f;Gesco AG;GSC1
DE000A1K0235f;Suss Microtec AG;SMHN
DE000A1K0375f;artnet AG Namens-Aktien o.N.;ART
DE000A1ML7J1f;VONOVIA;VNA
DE000A1MMCC8f;Medios AG;ILM1
DE000A1MME74f;Netfonds AG;NF4
DE000A1PHBB5f;R Stahl AG;RSL2
DE000A1PHFF7f;Hugo Boss AG;BOSS
DE000A1RFMY4f;Rcm Beteiligungs AG;RCMN
DE000A1RFMZ1f;SM Wirtschaftsberatungs AG;SMWN
DE000A1TNNN5f;A.S. Creation Tapeten AG;ACWN
DE000A1TNU68f;STS Group AG;SF3
DE000A1TNUT7f;Deutsche Beteiligun;DBAN
DE000A1TNV91f;Bitcoin Group SE;ADE
DE000A1TNWJ4f;MPC Muenchmeyer Petersen Capital AG;MPCK
DE000A1X3WX6f;ERWE Immobilien AG;ERWE
DE000A1X3XX4f;DIC Asset AG;DIC
DE000A1X3YY0f;Bastei Lubbe AG;BST
DE000A1YC913f;FCR Immobilien AG;FC9
DE000A254211f;Intershop Communications AG;ISHA
DE000A254W52f;Pyramid AG;M3BK
DE000A255F11f;Friedrich Vorwerk Group SE;VH2
DE000A255G02f;Enapter AG;H2O
DE000A289B07f;TELES Informationstechnologien AG;TLIK
DE000A289V03f;MPH Health Care AG;93M1
DE000A2AA204f;DF Deutsche Forfait AG;DFTK
DE000A2AAA75f;Seven Principles AG;T3T1
DE000A2BPK34f;Net Digital AG;VRL
DE000A2DA588f;MAX Automation AG;MXHN
DE000A2DAM03f;Aumann AG;AAG
DE000A2E4K43f;Delivery Hero AG;DHER
DE000A2E4MK4f;Noratis AG;NUVA
DE000A2E4SV8f;CYAN AG;CYR
DE000A2E4T77f;H&R GmbH & Co KGaA;2HRA
DE000A2G8X31f;Serviceware SE;SJJ
DE000A2GS5D8f;Dermapharm Holding SE;DMP
DE000A2GS625f;CR Capital AG;CRZK
DE000A2GS633f;Allgeier SE;AEIN
DE000A2GSU42f;Brockhaus Capital Mgmt AG;BKHT
DE000A2LQ884f;AUTO1 Group SE;AG1
DE000A2N4H07f;Westwing Group AG;WEW
DE000A2NB650f;Mutares AG;MUX
DE000A2NBX80f;Instone Real Estate Group AG;INS
DE000A2P4HL9f;123fahrschule SE;123F
DE000A2P4LJ5f;PharmaSGP Holding SE;PSG
DE000A2YN504f;Knaus Tabbert AG;KTA
DE000A2YN702f;UMT United Mobility Technology AG;UMDK
DE000A2YN777f;pferdewetten.de AG;EMH
DE000A2YN900f;TeamViewer AG;TMV
DE000A2YNT30f;AlzChem Group AG;ACT
DE000A2YPDD0f;VIB Vermoegen AG;VIH1
DE000A3CM708f;SDM SE;75S
