Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANNPA;Solvabilité
AIXA.DE;Technology;Semiconductor Equipment & Materials;https://www.aixtron.com/;AIXTRON SE;23,7;8,52;5,35;0,89
DMRE.DE;Real Estate;Real Estate Services;https://www.demire.ag/;DEMIRE Deutsche Mittelstand Real Estate AG;1;13,62;-0,18;0,31
SHWK.DE;Technology;Information Technology Services;https://www.shs-viveon.com/;SHS VIVEON AG;3;1,43;7,32;0,81
DR0.DE;Energy;Oil & Gas E&P;https://www.rohstoff.de/;Deutsche Rohstoff AG;41,5;93,86;-1,11;0,44
TTR1.DE;Industrials;Specialty Industrial Machinery;https://www.technotrans.com/;technotrans SE;20,8;20,7;5,46;0,65
IBU.DE;Basic Materials;Chemicals;https://www.ibu-tec.de/;IBU-tec advanced materials AG;13,5;0;0;0
PSAN.DE;Technology;Software—Application;https://www.psi.de/;PSI Software SE;23,6;17,88;-73,75;0,46
ADN1.DE;Technology;Information Technology Services;https://www.adesso.de/;adesso SE;100;99,43;-3,46;0,3
GAG.DE;Real Estate;Real Estate—Development;https://www.gore-ag.de/;GORE German Office Real Estate AG;0,238;0;0;0
VROS.DE;Real Estate;Real Estate Services;https://www.verianos.com/;Verianos SE;0,316;2,35;-0,27;0,13
FNTN.DE;Communication Services;Telecom Services;https://www.freenet.ag/;freenet AG;23,92;15,51;-2,35;0,45
ELB.DE;Consumer Cyclical;Luxury Goods;https://www.elumeo.com/;elumeo SE;2,4;3,87;3,48;0,39
UDC.DE;Technology;Electronics & Computer Distribution;https://www.unidevice.de/;UniDevice AG;0,075;2,34;0,13;0,49
HPHA.DE;Healthcare;Biotechnology;https://heidelberg-pharma.com/;Heidelberg Pharma AG;2,98;1,13;4,38;1,55
HRPK.DE;Technology;Solar;https://www.solarparken.com/;7C Solarparken AG;3,28;6,76;-1,3;0,46
G24.DE;Real Estate;Real Estate Services;https://www.scout24.com/;Scout24 SE;71,2;3,27;-11,6;0,7
ECF.DE;Consumer Cyclical;Internet Retail;https://www.mountain-alliance.de/;Mountain Alliance AG;2,5;0;0;0
NC5A.DE;Industrials;Specialty Business Services;https://www.norcom.de/;NorCom Information Technology GmbH & Co. KGaA;6,34;2,02;-57,64;0,68
PAL.DE;Communication Services;Entertainment;https://www.pantaflixgroup.com/;Pantaflix AG;1,67;1,45;-15,18;0,2
DEF.DE;Real Estate;Real Estate Services;https://www.defama.de/;DEFAMA Deutsche Fachmarkt AG;25,6;41,92;-0,83;0,21
HLE.DE;Consumer Cyclical;Auto Parts;https://www.hella.com/;HELLA GmbH & Co. KGaA;83,5;63,42;-23,65;0,49
DKG.DE;Real Estate;REIT—Retail;https://www.deutsche-konsum.de/;Deutsche Konsum REIT-AG;2,99;29,39;-0,16;0,32
HXCK.DE;Industrials;Marine Shipping;https://www.ernst-russ.de/;Ernst Russ AG;6,8;10,11;75,56;0,63
ETE.DE;;;https://finance.yahoo.com/sector/communication_services;;0;0;0;0
HFG.DE;Consumer Cyclical;Restaurants;https://www.hellofreshgroup.com/;HelloFresh SE;5,618;12,62;-1,14;0,43
RTV.DE;;;;;2,5;0;0;0,97
GLJ.DE;Financial Services;Credit Services;https://www.grenke.de/;Grenke AG;22,5;151,68;-0,41;0,21
N4G.DE;Financial Services;Capital Markets;https://www.naga.com/;The NAGA Group AG;0,83;2,8;3,95;0,84
SNG.DE;Industrials;Specialty Industrial Machinery;https://www.singulus.de/;Singulus Technologies AG;1,71;8,01;-0,29;0,5
SVE.DE;Financial Services;Asset Management;https://svb-ag.de/;Shareholder Value Beteiligungen AG;84;0;0;0,97
KSC.DE;Technology;Information Technology Services;https://kps.com/;KPS AG;1,195;2,24;-1;0,43
AJ91.DE;Healthcare;Health Information Services;https://www.doccheck.ag/;DocCheck AG;8,9;11,12;3,53;0,87
BNR.DE;Basic Materials;Specialty Chemicals;https://www.brenntag.com/;Brenntag SE;71,02;45,88;-7,65;0,44
GTK.DE;Consumer Defensive;Farm Products;https://www.tonkens-agrar.de/;Tonkens Agrar AG;6,45;23,12;-0,42;0,34
A62.DE;;;;;0,224;0;0;0
FYB.DE;Healthcare;Biotechnology;https://www.formycon.com/;Formycon AG;43,6;0;0;0
ADS.DE;Consumer Cyclical;Footwear & Accessories;https://www.adidas-group.com/;adidas AG;232,1;0;0;0
ABO.DE;Utilities;Utilities—Renewable;https://www.clearvise.de/;clearvise AG;2,06;0;0;0
NOEJ.DE;Industrials;Metal Fabrication;https://www.normagroup.com/;NORMA Group SE;19,3;0;0;0
O2D.DE;Communication Services;Telecom Services;https://www.telefonica.de/;Telefónica Deutschland Holding AG;2,43;3,68;-1;0,37
GSC1.DE;Industrials;Specialty Industrial Machinery;https://www.gesco.de/;Gesco SE;17,6;37,73;2,12;0,63
SMHN.DE;Technology;Semiconductor Equipment & Materials;https://www.suss.com/;SÜSS MicroTec SE;51,6;0;0;0
ART.DE;Consumer Cyclical;Internet Retail;https://www.artnet.com/;Artnet AG;5,15;2,04;-7,36;0,39
VNA.DE;Real Estate;Real Estate Services;https://www.vonovia.de/;Vonovia SE;29,94;0;0;0
ILM1.DE;Healthcare;Medical Distribution;https://www.medios.ag/;Medios AG;14,18;26,49;2,22;0,91
NF4.DE;Financial Services;Financial Conglomerates;https://www.netfonds.de/;Netfonds AG;44,4;0;0;0
SGF.DE;Financial Services;Asset Management;https://www.sgt-germanpe.com/;SGT German Private Equity GmbH & Co. KGaA;0,63;0,67;7;0,99
FF24.DE;Financial Services;Credit Services;https://www.fastfinance24.com/;Fast Finance24 Holding AG;0,084;0;0;0
