ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0000062184;Industrials;Conglomerates;https://www.idsud.com/;Idsud S.A.;190.4;0;0;0;0.91;0.01
BE0003748622;Real Estate;Real Estate - Development;https://www.iepinvest.be/;Iep Invest, NV;5.25;9.07;0.58;0.67;0.58;0.0
IT0005322612;Real Estate;REIT - Diversified;https://www.gruppoigd.it/;Immobiliare Grande Distribuzione SIIQ S.p.A.;2.625;16.81;0.16;0.31;0.52;2.35
FR00140048X2;Healthcare;Medical Devices;https://ikonisys.com/;Ikonisys S.A.;1.41;0.71;1.99;3.0;0.8;0.0
IT0005283111;Communication Services;Publishing;https://www.gruppo24ore.ilsole24ore.com/;Il Sole 24 ORE S.p.A.;0.626;3.38;0.19;0.12;0.11;0.0
IT0005359192;Financial Services;Banks - Regional;https://www.illimity.com/;illimity Bank S.p.A.;3.228;98.36;0.03;0.04;0.12;0.0
IT0005359101;Industrials;Specialty Industrial Machinery;https://www.ilpra.com/;ILPRA S.p.A.;4.5;6.99;0.64;0.41;0.31;0.0
FR0010086371;Communication Services;Publishing;https://www.imalliance.fr/;ImAlliance SA;0.312;0.0;0;0;0;0.0
NL0010801007;Basic Materials;Specialty Chemicals;https://www.imcdgroup.com/;IMCD N.V.;147.45;59.1;2.49;1.93;0.39;0.01
FR0000120859;Basic Materials;Building Materials;https://www.imerys.com/;Imerys S.A.;28.06;59.04;0.48;0.35;0.44;0.16
FR0013060100;Technology;Software - Application;https://www.immersion.fr/;Immersion SA;1.71;5.31;0.32;0.19;0.38;0.0
BE0974287196;Real Estate;Real Estate Services;https://issgovernance.com/quickscore;Immo Mechelen City Center Naamloze vennootschap;424.0;0;0;0;0;0.0
BE0003893139;Real Estate;Real Estate Services;https://www.immomoury.com/;Immo Moury SCA;31.0;0;0;0;0.52;0.16
FR0000033243;Real Estate;REIT - Diversified;https://www.immobiliere-dassault.com/;Immobiliere Dassault SA;50.0;125.1;0.4;1.17;0.68;0.05
BE0003599108;Real Estate;Real Estate - Development;https://www.immobelgroup.com/;Immobel SA;17.32;168.78;0.1;0.07;0.29;0.33
IT0001413837;Consumer Cyclical;Auto Manufacturers;https://www.immsi.it/;Immsi S.p.A.;0.502;8.53;0.06;0.06;0.09;4.48
PTGPA0AP0007;;;https://twitter.com/YahooFinance;;0.199;0;0;0;0;0.0
IT0005518953;Technology;Information Technology Services;https://www.impianti.eu/;Impianti S.P.A.;0.258;0.1;2.58;0;0;0.0
FR0013470168;Healthcare;Medical Devices;https://www.implanet.com/;Implanet S.A.;0.117;0.11;1.06;0.84;0.02;0.0
IT0005500571;Industrials;Engineering & Construction;https://www.renovalo.it/;Renovalo S.p.A.;2.4;8.11;0.3;0.19;0.37;0.0
PTIPR0AM0000;Communication Services;Broadcasting;https://www.impresa.pt/;Impresa - Sociedade Gestora de Participações Sociais, S.A.;0.12;2.12;0.06;0.07;0.41;0.0
FR0000065773;Communication Services;Publishing;https://www.imprimerie-chirat.fr/;Imprimerie Chirat Société Anonyme;5.8;0;0;0;0;0.0
ES0105590006;Consumer Cyclical;Leisure;https://impulsebodyfitness.com/;Impulse Fitness Solutions, S.A.;7.0;0.0;0;0;0;0.0
BE0974374069;Real Estate;Real Estate Services;https://www.inclusio.be/;Inclusio SA;14.0;46.26;0.3;0.79;0.62;0.0
IT0005416281;Basic Materials;Specialty Chemicals;https://www.forestali.it/;Industrie Chimiche Forestali S.p.A.;4.44;10.06;0.44;0.35;0.7;0.0
IT0005245508;Consumer Cyclical;Auto Parts;https://www.indelb.com/;Indel B S.p.A.;21.6;38.66;0.56;0.48;0.57;0.0
ES0148396007;Consumer Cyclical;Apparel Retail;https://www.inditex.com/;Industria de Diseño Textil, S.A.;55.82;0;0;0;0.5;0.03
FR0000066219;Industrials;Engineering & Construction;https://www.groupe-etpo.fr/;Groupe ETPO SA;61.0;260.27;0.23;0.14;0.18;0.07
NO0010536048;Healthcare;Health Information Services;https://www.inductsoftware.com/;Induct AS;1.85;2.36;0.78;1.18;0.51;0.0
DE0006200108;Industrials;Conglomerates;https://indus.de/en/;INDUS Holding AG;21.85;50.04;0.44;0.28;0.38;0.14
IT0005186371;Basic Materials;Specialty Chemicals;https://www.denora.com/;Industrie De Nora S.p.A.;8.2;25.32;0.32;0.35;0.76;0.0
