ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
NO0010379266;Energy;Oil & Gas E&P;https://www.bluenord.com/;BlueNord ASA;575.0;123.68;4.65;5.09;0.23;0.0
DE0005190003;Consumer Cyclical;Auto Manufacturers;https://www.bmwgroup.com/;Bayerische Motoren Werke Aktiengesellschaft;77.4;429.15;0.18;0.16;0.35;0.07
DE0005190037;Consumer Cyclical;Auto Manufacturers;https://www.bmwgroup.com/;Bayerische Motoren Werke Aktiengesellschaft;71.3;4110.91;0.02;0.02;0.35;0.09
FR0000131104;Financial Services;Banks - Regional;https://group.bnpparibas/;BNP Paribas SA;58.57;0;0;0;0.05;0.09
FR0011365907;;;https://twitter.com/YahooFinance;;16.65;0;0;0;0;0.0
FR0010106039;Consumer Cyclical;Apparel Manufacturing;https://www.bodyone.fr/;Body One SA;0.32;0.0;0;0;0;0.0
FR0000061129;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.boiron.fr/;Boiron SA;26.55;27.35;0.97;0.95;0.7;0.11
FR0000039299;Communication Services;Entertainment;https://www.bollore.com/;Bolloré SE;5.895;0;0;0;0.38;0.23
FR0000063935;Consumer Defensive;Packaged Foods;https://www.bonduelle.com/;Bonduelle SCA;6.42;50.84;0.13;0.09;0.33;0.42
NO0003110603;Industrials;Conglomerates;https://www.bonheur.no/;Bonheur ASA;268.5;548.97;0.49;0.43;0.31;0.01
BE6333353298;Healthcare;Medical Instruments & Supplies;https://www.bonyf.com/;bonyf N.V.;18.0;0;0;0;0;0.0
FR001400OS22;Technology;Consumer Electronics;https://www.boostheat-group.com/;Boostheat SA;0.22;0;0;0;0;0.0
NO0003111700;Industrials;Building Products & Equipment;https://borgestad.no/;Borgestad ASA;17.98;40.16;0.45;0.47;0.48;0.0
IT0003217335;Consumer Cyclical;Textile Manufacturing;https://www.borgosesiaspa.com/;Borgosesia S.p.A.;0.532;3.77;0.14;0.09;0.3;0.0
NO0010657505;Basic Materials;Specialty Chemicals;https://www.borregaard.com/;Borregaard ASA;183.4;91.98;1.99;2.53;0.55;0.01
FR0000054421;Consumer Cyclical;Home Improvement Retail;https://www.bourrelier-group.com/;Bourrelier Group SA;45.0;87.07;0.52;0.52;0.65;0.06
FR0000074254;Financial Services;Capital Markets;https://www.boursedirect.fr/;Bourse Direct Société Anonyme;4.22;24.82;0.17;0.18;0.06;0.42
NO0010360266;Technology;Information Technology Services;https://www.bouvet.no/;Bouvet ASA;70.8;15.44;4.59;3.0;0.26;0.05
FR0000120503;Industrials;Engineering & Construction;https://www.bouygues.com/;Bouygues SA;28.85;142.02;0.2;0.14;0.19;0.17
IT0000066123;Financial Services;Banks - Regional;https://www.bper.it/;BPER Banca SpA;5.89;0;0;0;0.08;0.54
BE0974268972;Industrials;Integrated Freight & Logistics;https://bpostgroup.com/;bpost NV/SA;1.944;25.6;0.08;0.07;0.2;4.56
BE0003008019;Financial Services;Banks - Regional;https://www.nbb.be/;Banque nationale de Belgique SA;383.0;0;0;0;0;0.02
LU1068091351;Financial Services;Asset Management;https://www.brederode.eu/;Brederode SA;105.8;128.56;0.82;3526.67;1.0;0.01
NL0015001KT6;Consumer Cyclical;Auto Parts;https://www.brembo.com/;Brembo N.V.;9.13;12.79;0.71;0.7;0.5;0.2
DE000A1DAHH0;Basic Materials;Specialty Chemicals;https://www.brenntag.com/;Brenntag SE;61.28;51.68;1.19;0.74;0.39;0.04
