Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
TAYN.PA;Real Estate;Real Estate Services;https://www.tayninh.fr/W/do/centre/accueil.html;Societe de Tayninh SA;1,21;1,89;0,64;0,64;1;2,96
CARP.PA;Real Estate;Real Estate Services;https://www.carpinienne-de-participations.fr/;Carpinienne de Participations;6,3;0;0;0;0;1,97
EDI.PA;Industrials;Business Equipment & Supplies;https://www.media6.com/;Groupe MEDIA 6;13,4;22,43;0,6;-89,33;0,49;2,32
ACAN.PA;Real Estate;REIT - Office;https://www.acanthedeveloppement.fr/;Acanthe Developpement;0,405;0,93;0,44;40,5;0,92;32,9
ITXT.PA;Consumer Cyclical;Apparel Manufacturing;https://intexa.fr/;Intexa SA;2,64;3,88;0,68;0,86;4,53;0
DPAM.PA;Energy;Oil & Gas Refining & Marketing;https://www.dpasa.fr/;Les Docks des Pétroles d'Ambès -SA;530;0;0;0;0,26;7,05
COUR.PA;Real Estate;Real Estate Services;https://www.courtois-sa.com/;Courtois S.A.;122;0;0;0;1,04;2,03
LEBL.PA;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.fonciere7investissement.fr/;Foncière 7 investissement Société Anonyme;0,675;0,4;1,69;1,78;2,19;0
INFE.PA;Industrials;Engineering & Construction;https://www.infe.fr/;Compagnie Industrielle et Financière d'Entreprises SA;61;260,27;0,23;4,44;0,25;2,26
TIPI.PA;Consumer Defensive;Packaged Foods;https://www.tipiak.fr/;Tipiak Société Anonyme;86;0;0;0;0,29;2,56
